INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,12,2023-01-02,2025-12-22,922,251,378.89000000000004,0.272
2733,ТРОКСЕРУТИН,6,2023-01-23,2025-12-29,725,150,173.07,0.207
2757,ТОБРАМИЦИН,1,2023-01-09,2025-12-15,154,71,103.35,0.461
2963,НАФТИФИН,10,2023-01-02,2025-12-22,1069,151,201.53,0.141
2969,НАПРОКСЕН,5,2023-01-02,2025-12-29,652,131,136.9,0.201
3016,МЕСАЛАЗИН,2,2023-01-09,2025-04-07,113,10,4.22,0.088
3030,ЛОРАТАДИН,7,2023-01-02,2025-12-29,591,182,221.83,0.308
3138,ИБУПРОФЕН,57,2023-01-02,2025-12-29,5854,1393,2032.54,0.238
3147,ДРОТАВЕРИН,11,2023-01-02,2025-12-29,1054,331,417.0,0.314
3170,ДИКЛОФЕНАК,56,2023-01-02,2025-12-29,5694,1111,1278.08,0.195
3225,ГЕПАРИН НАТРИЙ,7,2023-02-20,2025-12-29,768,151,222.29999999999998,0.197
3297,АЦИКЛОВИР,13,2023-01-02,2025-12-29,1604,412,528.23,0.257
40218,ДЕЗЛОРАТАДИН,14,2023-01-02,2025-12-15,1424,241,315.86,0.169
60436,ЛЕРКАНИДИПИН,9,2023-01-23,2025-12-29,705,171,169.30999999999997,0.243
80617,ПРЕГАБАЛИН,23,2023-01-23,2025-12-29,1699,295,291.11,0.174
95259,РЕБАМИПИД,1,2023-01-16,2025-12-15,153,38,35.44,0.248
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,3,2023-01-02,2025-12-15,298,96,158.17999999999998,0.322
298137,БИЛАСТИН,5,2023-01-09,2025-12-22,487,153,189.49,0.314
790221,ЭДОКСАБАН,2,2023-06-05,2025-12-29,186,28,34.480000000000004,0.151
