INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,11,2023-01-02,2025-12-22,970,364,761.0,0.375
2733,ТРОКСЕРУТИН,4,2023-01-02,2025-12-29,561,147,195.82999999999998,0.262
2757,ТОБРАМИЦИН,1,2023-01-02,2025-12-29,157,108,193.15,0.688
2963,НАФТИФИН,6,2023-01-09,2025-12-22,808,122,140.78,0.151
2969,НАПРОКСЕН,5,2023-01-16,2025-12-15,593,130,155.68,0.219
3016,МЕСАЛАЗИН,12,2023-02-20,2025-12-15,788,110,90.06,0.14
3030,ЛОРАТАДИН,8,2023-01-09,2025-12-22,612,209,511.8299999999999,0.342
3138,ИБУПРОФЕН,54,2023-01-02,2025-12-29,6119,1718,2904.96,0.281
3147,ДРОТАВЕРИН,9,2023-01-02,2025-12-29,1164,453,640.4300000000001,0.389
3170,ДИКЛОФЕНАК,57,2023-01-02,2025-12-29,5696,1310,1664.68,0.23
3225,ГЕПАРИН НАТРИЙ,7,2023-01-02,2025-12-22,628,147,181.22,0.234
3297,АЦИКЛОВИР,18,2023-01-09,2025-12-29,1969,601,840.48,0.305
40218,ДЕЗЛОРАТАДИН,9,2023-01-09,2025-12-15,1035,314,455.48,0.303
60436,ЛЕРКАНИДИПИН,9,2023-01-02,2025-12-29,725,152,149.9,0.21
73487,ИНСУЛИН ГЛУЛИЗИН,1,2023-02-20,2025-12-01,146,21,18.680000000000003,0.144
80617,ПРЕГАБАЛИН,26,2023-01-02,2025-12-29,2315,629,924.09,0.272
95259,РЕБАМИПИД,2,2023-01-02,2025-12-22,308,94,117.89999999999999,0.305
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,2023-01-02,2025-12-15,296,53,66.03999999999999,0.179
298137,БИЛАСТИН,6,2023-01-02,2025-12-08,441,131,181.58,0.297
790221,ЭДОКСАБАН,2,2023-02-13,2025-12-29,295,50,46.9,0.169
