INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,4,85,69,81.2
2733,ТРОКСЕРУТИН,8,163,119,73.0
2757,ТОБРАМИЦИН,1,26,26,100.0
2963,НАФТИФИН,17,249,145,58.2
2969,НАПРОКСЕН,7,147,131,89.1
298137,БИЛАСТИН,6,95,66,69.5
3016,МЕСАЛАЗИН,12,95,63,66.3
3030,ЛОРАТАДИН,7,50,38,76.0
3138,ИБУПРОФЕН,66,1049,895,85.3
3147,ДРОТАВЕРИН,12,232,206,88.8
3170,ДИКЛОФЕНАК,77,1101,823,74.8
3225,ГЕПАРИН НАТРИЙ,10,169,132,78.1
3297,АЦИКЛОВИР,26,409,252,61.6
350,АРГИНИН,22,187,132,70.6
40218,ДЕЗЛОРАТАДИН,17,257,186,72.4
60436,ЛЕРКАНИДИПИН,12,258,148,57.4
73487,ИНСУЛИН ГЛУЛИЗИН,1,32,29,90.6
790221,ЭДОКСАБАН,2,54,45,83.3
80617,ПРЕГАБАЛИН,42,564,383,67.9
95259,РЕБАМИПИД,2,57,54,94.7
