DRUGS_ID,DRUGS_NAME,INN_ID,INN_NAME,NFC1_ID,EVENTS_COUNT,SHARE_INTERNAL,SHARE_LOST,SHARE_SAME_NFC1,SHARE_DIFF_NFC1,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,AVG_STOCKOUT_WEEKS,CLASSIFICATION
4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г",2733,ТРОКСЕРУТИН,"Местно действующие, дерматологические, антигеморроидальные, наружные",29,0.2944882413793103,0.7055117586206897,1.0,0.0,17.4284,85.99499999999999,103.4234,2.8620689655172415,CRITICAL
4954,"ИБУПРОФЕН, Борщаговский ХФЗ ПАО (Украина, Киев), табл. п/плен. оболочкой 200 мг, #50",3138,ИБУПРОФЕН,Пероральные твердые обычные,12,0.8333093333333333,0.16669066666666665,0.8742095,0.1257905,159.2178,43.177299999999995,202.3949,1.4166666666666667,SUBSTITUTABLE
5050,"НАКЛОФЕН, KRKA d.d. Novo Mesto  (Словения), р-р д/ин. 75 мг амп. 3 мл, #5",3170,ДИКЛОФЕНАК,Парентеральные обычные,11,0.5291996363636364,0.4708003636363636,1.0,0.0,144.0907,40.748099999999994,184.8388,9.818181818181818,CRITICAL
5216,"ГЕПАТРОМБИН, Stada  (Германия), крем 30000 МЕ/100 г туба 40 г, #1",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",1,0.75,0.25,1.0,0.0,3.0,1.0,4.0,3.0,SUBSTITUTABLE
5949,"ВОЛЬТАРЕН®, Novartis Pharma (Швейцария), р-р д/ин. 75 мг амп. 3 мл, #5",3170,ДИКЛОФЕНАК,Парентеральные обычные,16,0.6553715625000001,0.3446284375,1.0,0.0,66.5887,107.7892,174.3778,6.3125,SUBSTITUTABLE
6572,"ДОЛГИТ® КРЕМ, Naturwaren (Германия), крем туба 50 г, #1",3138,ИБУПРОФЕН,"Местно действующие, дерматологические, антигеморроидальные, наружные",4,0.25006575,0.74993425,1.0,0.0,13.1,68.24889999999999,81.3489,25.0,CRITICAL
6573,"ДОЛГИТ® КРЕМ, Naturwaren (Германия), крем туба 100 г, #1",3138,ИБУПРОФЕН,"Местно действующие, дерматологические, антигеморроидальные, наружные",7,0.49991585714285713,0.5000841428571429,1.0,0.0,12.1,29.427,41.527,14.571428571428571,CRITICAL
7583,"ЗОВИРАКС, Халеон Украина ООО (Украина, Киев), крем 5 % туба 2 г, #1",3297,АЦИКЛОВИР,"Местно действующие, дерматологические, антигеморроидальные, наружные",23,0.6860781739130435,0.3139218260869565,1.0,0.0,75.5119,60.2217,135.7335,3.739130434782609,SUBSTITUTABLE
8609,"ЛИОТОН® 1000 ГЕЛЬ, Berlin-Chemie  (Германия), гель туба 50 г, #1",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",29,0.3599156896551724,0.6400843103448276,1.0,0.0,28.6414,49.834,78.4753,2.7586206896551726,CRITICAL
10918,"НАКЛОФЕН ДУО, KRKA d.d. Novo Mesto  (Словения), капс. 75 мг блистер, #20",3170,ДИКЛОФЕНАК,Пероральные твердые обычные,22,0.7476085,0.2523915,0.6801689047619048,0.3198310952380953,145.671,54.5102,200.1812,5.090909090909091,SUBSTITUTABLE
12028,"ВОЛЬТАРЕН ЭМУЛЬГЕЛЬ, Халеон Украина ООО (Украина, Киев), эмульгель д/наруж. прим. 1 % туба 50 г, #1",3170,ДИКЛОФЕНАК,"Местно действующие, дерматологические, антигеморроидальные, наружные",14,0.7060742142857143,0.29392578571428574,1.0,0.0,136.53979999999999,59.4442,195.984,7.5,SUBSTITUTABLE
13656,"ИБУПРОФЕН, Sopharma (Болгария), табл. п/о 200 мг блистер в пачке, #50",3138,ИБУПРОФЕН,Пероральные твердые обычные,25,0.8576609999999999,0.142339,0.8998452399999999,0.10015476,490.5923,73.1391,563.7313,2.76,SUBSTITUTABLE
17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,Для введения в легкие,16,0.33312525,0.66687475,1.0,0.0,14.6942,48.3787,63.0729,5.25,CRITICAL
25464,"ДИКЛОФЕНАК, Красная звезда ОАО (Украина, Харьков), табл. 0,05 г блистер, в пачке, #30",3170,ДИКЛОФЕНАК,Пероральные твердые обычные,8,0.6947385,0.30526149999999996,0.70889625,0.29110375,32.591499999999996,37.2636,69.8552,5.125,SUBSTITUTABLE
27414,"ДИКЛОФЕНАК НАТРИЯ, Монфарм ПАО (Украина, Монастырище), супп. ректал. 0,05 г стрип, #10",3170,ДИКЛОФЕНАК,Ректальные системные,5,0.6103102,0.38968980000000003,1.0,0.0,30.299999999999997,16.939999999999998,47.24,16.6,SUBSTITUTABLE
28888,"КЛАРИТИН®, Bayer Consumer Health  (Швейцария), табл. 10 мг, #10",3030,ЛОРАТАДИН,Пероральные твердые обычные,19,0.557924947368421,0.4420750526315789,0.9563900000000001,0.04361,130.1496,71.226,201.3757,5.2631578947368425,CRITICAL
29400,"ДИКЛОБЕРЛ® 100, Berlin-Chemie  (Германия), супп. 100 мг, #10",3170,ДИКЛОФЕНАК,Ректальные системные,27,0.40325188888888885,0.5967481111111111,1.0,0.0,19.1955,44.7765,63.9721,1.7777777777777777,CRITICAL
29401,"ДИКЛОБЕРЛ® 50, Berlin-Chemie  (Германия), супп. 50 мг блистер, #10",3170,ДИКЛОФЕНАК,Ректальные системные,17,0.46665088235294117,0.5333491176470588,1.0,0.0,58.638999999999996,43.2365,101.8754,5.352941176470588,CRITICAL
29404,"ДИКЛОБЕРЛ® РЕТАРД, Berlin-Chemie  (Германия), капс. тверд. пролонг. дейст. 100 мг, #20",3170,ДИКЛОФЕНАК,Пероральные твердые длительно действующие,35,0.6508223714285715,0.34917762857142853,0.27161566666666664,0.7283843333333333,76.6045,80.5766,157.1811,1.457142857142857,SUBSTITUTABLE
31673,"НО-Х-ША®, Лекхим ЧАО (Украина, Киев), супп. ректал. 0,04 г блистер, #10",3147,ДРОТАВЕРИН,Ректальные системные,1,0.0,1.0,,,0.0,3.0,3.0,12.0,CRITICAL
31881,"ДИКЛОФЕНАК-ДАРНИЦА, Дарница ЧАО (Украина, Киев), р-р д/ин. 25 мг/мл амп. 3 мл, контурн. ячейк. уп., пачка, #10",3170,ДИКЛОФЕНАК,Парентеральные обычные,16,0.474521625,0.525478375,1.0,0.0,24.0609,37.563,61.6239,2.9375,CRITICAL
32345,"АЦИКЛОВИР 800 СТАДА®, Stada  (Германия), табл. 800 мг блистер, #35",3297,АЦИКЛОВИР,Пероральные твердые обычные,31,0.6316170322580645,0.36838296774193546,1.0,0.0,95.8919,32.781800000000004,128.6739,2.838709677419355,SUBSTITUTABLE
32346,"АЦИКЛОВИР 400 СТАДА®, Stada  (Германия), табл. 400 мг блистер, #35",3297,АЦИКЛОВИР,Пероральные твердые обычные,22,0.7080280454545455,0.2919719545454545,1.0,0.0,81.9229,45.548,127.4709,4.090909090909091,SUBSTITUTABLE
32493,"ЛИОТОН® 1000 ГЕЛЬ, Berlin-Chemie  (Германия), гель туба 30 г, #1",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",27,0.45450466666666667,0.5454953333333333,1.0,0.0,47.3964,59.9343,107.33070000000001,3.5925925925925926,CRITICAL
33089,"САЛОФАЛЬК, Alpen Pharma AG   (Швейцария), табл. п/о кишечно-раств. 500 мг блистер, #100",3016,МЕСАЛАЗИН,Пероральные твердые обычные,1,1.0,0.0,0.046067,0.953933,28.22,0.0,28.22,106.0,SUBSTITUTABLE
33729,"ТОБРЕКС®, Novartis Pharma (Швейцария), кап. глаз. 0,3 % фл.-капельн. 5 мл, #1",2757,ТОБРАМИЦИН,Офтальмологические,38,0.0,1.0,,,0.0,75.4289,75.4289,1.263157894736842,CRITICAL
33762,"ГЕПАТРОМБИН, Stada  (Германия), гель 50000 МЕ/100 г туба 40 г, #1",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",11,0.5527954545454545,0.44720454545454547,1.0,0.0,32.7893,44.169,76.9583,9.090909090909092,CRITICAL
36225,"ТРОКСЕРУТИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), гель 20 мг/г туба 30 г, #1",2733,ТРОКСЕРУТИН,"Местно действующие, дерматологические, антигеморроидальные, наружные",3,0.5427256666666667,0.45727433333333334,1.0,0.0,20.9833,57.6361,78.6194,21.666666666666668,CRITICAL
36782,"НАТРИЯ ДИКЛОФЕНАК-КВ, Киевский витаминный завод АО (Украина, Киев), капс. тверд. 25 мг блистер, #30",3170,ДИКЛОФЕНАК,Пероральные твердые обычные,6,0.8428058333333334,0.15719416666666666,0.6046268333333333,0.39537316666666666,37.4426,14.817799999999998,52.2605,4.0,SUBSTITUTABLE
36994,"ГЕПАРИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), гель 600 ЕД/г туба 30 г",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",4,0.37432175,0.62567825,1.0,0.0,29.6532,51.216499999999996,80.8697,22.25,CRITICAL
38166,"БЕРОДУАЛ® Н, Boehringer Ingelheim  (Германия), аэр. дозир. баллончик метал. 10 мл, 200 доз",106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,Для введения в легкие,19,0.3286416315789474,0.6713583684210526,1.0,0.0,12.9206,45.6185,58.539100000000005,5.2105263157894735,CRITICAL
38173,"ДИКЛОФЕНАК НАТРИЯ, Лубныфарм АО (Украина, Лубны), р-р д/ин. 2,5 % амп. 3 мл, блистер в пачке, #10",3170,ДИКЛОФЕНАК,Парентеральные обычные,2,0.2606785,0.7393215,1.0,0.0,11.387400000000001,23.3605,34.7479,8.0,CRITICAL
38325,"ЛОРАТАДИН, Фармак АО (Украина, Киев), табл. 0,01 г блистер, #20",3030,ЛОРАТАДИН,Пероральные твердые обычные,1,0.748409,0.251591,1.0,0.0,10.3835,3.4906,13.874,8.0,SUBSTITUTABLE
40041,"ЭРИУС®, Bayer Consumer Health  (Швейцария), табл. п/плен. оболочкой 5 мг блистер, #10",40218,ДЕЗЛОРАТАДИН,Пероральные твердые обычные,23,0.6093697391304348,0.3906302608695652,0.8092199523809523,0.19078004761904763,81.4036,72.2949,153.6987,3.9565217391304346,SUBSTITUTABLE
41633,"ИБУПРОМ, Дельта Медикел ООО (Украина, Вишневое), табл. п/о 200 мг блистер, #10",3138,ИБУПРОФЕН,Пероральные твердые обычные,15,0.9348861333333333,0.06511386666666667,0.8934101333333333,0.10658986666666666,581.5797,27.5895,609.1692,4.666666666666667,SUBSTITUTABLE
44761,"ИБУПРОФЕН, Лекхим ЧАО (Украина, Киев), табл. п/о 200 мг блистер, #50",3138,ИБУПРОФЕН,Пероральные твердые обычные,3,0.9569766666666667,0.04302333333333333,0.8918466666666666,0.10815333333333332,148.1886,6.238300000000001,154.4269,9.0,SUBSTITUTABLE
45751,"ЛОРАТАДИН, Корпорация Артериум  (Украина, Киев), табл. 10 мг блистер, #10",3030,ЛОРАТАДИН,Пероральные твердые обычные,3,0.24938533333333335,0.7506146666666668,0.989654,0.010346,96.66,45.196799999999996,141.8568,36.333333333333336,CRITICAL
47005,"ДРОТАВЕРИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), табл. 40 мг контурн. ячейк. уп., #20",3147,ДРОТАВЕРИН,Пероральные твердые обычные,11,0.5664522727272727,0.4335477272727273,1.0,0.0,50.357,55.3979,105.755,7.363636363636363,CRITICAL
49724,"ЭРИУС®, Bayer Consumer Health  (Швейцария), сироп 0,5 мг/мл фл. 60 мл, #1",40218,ДЕЗЛОРАТАДИН,Пероральные жидкие обычные,14,0.6835999285714286,0.3164000714285714,0.05265128571428572,0.9473487142857142,117.6,46.6991,164.299,7.071428571428571,SUBSTITUTABLE
50178,"ДИКЛОФЕНАК-ДАРНИЦА, Дарница ЧАО (Украина, Киев), табл. п/о кишечно-раств. 25 мг контурн. ячейк. уп., #30",3170,ДИКЛОФЕНАК,Пероральные твердые обычные,18,0.7374567777777777,0.2625432222222222,0.5282667777777778,0.47173322222222225,107.5771,49.9512,157.5284,4.388888888888889,SUBSTITUTABLE
51182,"ГЛУТАРГИН, Здоровье Группа компаний ООО (Украина, Харьков), конц. д/р-ра д/инф. 400 мг/мл амп. 5 мл, в блист. в коробках, #10",350,АРГИНИН,Парентеральные обычные,21,0.3802332857142857,0.6197667142857143,1.0,0.0,54.8687,21.6546,76.52340000000001,1.2857142857142858,CRITICAL
52412,"ГЛУТАРГИН, Здоровье Группа компаний ООО (Украина, Харьков), табл. 0,25 г блистер, #30",350,АРГИНИН,Пероральные твердые обычные,7,0.5433147142857143,0.45668528571428574,0.7845423333333333,0.21545766666666666,24.0834,27.264000000000003,51.3474,8.857142857142858,CRITICAL
55120,"НАЛГЕЗИН, KRKA d.d. Novo Mesto  (Словения), табл. п/плен. оболочкой 275 мг блистер, в карт. коробке, #10",2969,НАПРОКСЕН,Пероральные твердые обычные,18,0.3871298888888889,0.6128701111111111,1.0,0.0,33.7813,55.9781,89.7595,5.944444444444445,CRITICAL
55121,"НАЛГЕЗИН ФОРТЕ, KRKA d.d. Novo Mesto  (Словения), табл. п/плен. оболочкой 550 мг, #10",2969,НАПРОКСЕН,Пероральные твердые обычные,27,0.4339052222222222,0.5660947777777777,1.0,0.0,22.6115,60.1225,82.7341,3.1481481481481484,CRITICAL
56043,"ДИКЛОФЕНАК НАТРИЯ, Здоровье Группа компаний ООО (Украина, Харьков), капс. 25 мг блистер, #30",3170,ДИКЛОФЕНАК,Пероральные твердые обычные,2,0.779786,0.220214,0.473464,0.526536,17.1339,6.0,23.1339,14.0,SUBSTITUTABLE
62203,"АЦИКЛОВИР-ДАРНИЦА, Дарница ЧАО (Украина, Киев), табл. 200 мг контурн. ячейк. уп., в пачке, #20",3297,АЦИКЛОВИР,Пероральные твердые обычные,23,0.4718830869565217,0.5281169130434783,1.0,0.0,41.3012,67.7216,109.0226,1.7391304347826086,CRITICAL
62632,"ОРТОФЕН, Sopharma (Болгария), табл. п/о кишечно-раств. 0,025 г блистер, #30",3170,ДИКЛОФЕНАК,Пероральные твердые обычные,19,0.7055742631578947,0.29442573684210527,0.5929967894736843,0.4070032105263158,126.55030000000001,59.2401,185.7904,5.368421052631579,SUBSTITUTABLE
63472,"АЦИКЛОВИР-ФАРМАК, Фармак АО (Украина, Киев), табл. 200 мг, #20",3297,АЦИКЛОВИР,Пероральные твердые обычные,4,0.703598,0.296402,1.0,0.0,38.0708,33.7802,71.8511,7.0,SUBSTITUTABLE
63511,"ИБУПРОМ МАКС, Дельта Медикел ООО (Украина, Вишневое), табл. п/о 400 мг блистер, #12",3138,ИБУПРОФЕН,Пероральные твердые обычные,9,0.8590067777777778,0.14099322222222221,0.8601026666666667,0.13989733333333335,212.0109,28.419800000000002,240.4308,4.555555555555555,SUBSTITUTABLE
63512,"ИБУПРОМ МАКС, Дельта Медикел ООО (Украина, Вишневое), табл. п/о 400 мг блистер, #24",3138,ИБУПРОФЕН,Пероральные твердые обычные,9,0.9559175555555556,0.044082444444444445,0.8808333333333334,0.11916666666666667,342.34569999999997,17.0552,359.4009,6.222222222222222,SUBSTITUTABLE
69125,"ЛОРАТАДИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), табл. 10 мг контурн. ячейк. уп., #10",3030,ЛОРАТАДИН,Пероральные твердые обычные,21,0.3580555714285714,0.6419444285714286,1.0,0.0,55.228500000000004,101.9328,157.161,2.0,CRITICAL
69784,"ИБУПРОФЕН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), табл. 200 мг контурн. ячейк. уп., #50",3138,ИБУПРОФЕН,Пероральные твердые обычные,22,0.8908148636363635,0.10918513636363637,0.8940990909090908,0.10590090909090909,426.7246,68.4709,495.1952,2.1818181818181817,SUBSTITUTABLE
70279,"ДИКЛОБЕРЛ® N 75, Berlin-Chemie  (Германия), р-р д/ин. 75 мг амп. 3 мл, #5",3170,ДИКЛОФЕНАК,Парентеральные обычные,27,0.5046957037037038,0.4953042962962963,1.0,0.0,43.2414,68.2073,111.4488,1.7407407407407407,CRITICAL
71426,"ЛОРАТАДИН, Астрафарм ООО (Украина, Вишневое), табл. 10 мг блистер, #10",3030,ЛОРАТАДИН,Пероральные твердые обычные,3,0.8959223333333334,0.10407766666666667,0.953029,0.046971000000000006,12.513399999999999,1.1432,13.656600000000001,2.6666666666666665,SUBSTITUTABLE
73433,"ГЕРПЕВИР®, Корпорация Артериум  (Украина, Киев), табл. 400 мг блистер, #10",3297,АЦИКЛОВИР,Пероральные твердые обычные,30,0.4554166,0.5445834,1.0,0.0,33.9678,87.23949999999999,121.2077,1.4666666666666666,CRITICAL
73434,"ГЕРПЕВИР®, Корпорация Артериум  (Украина, Киев), табл. 200 мг блистер, #20",3297,АЦИКЛОВИР,Пероральные твердые обычные,8,0.700878125,0.299121875,1.0,0.0,43.9595,32.9376,76.8971,3.75,SUBSTITUTABLE
74436,"ГЕРПЕВИР®, Корпорация Артериум  (Украина, Киев), мазь 25 мг/г туба 5 г",3297,АЦИКЛОВИР,"Местно действующие, дерматологические, антигеморроидальные, наружные",31,0.5559176129032258,0.44408238709677417,1.0,0.0,68.6828,81.2695,149.9522,2.6451612903225805,CRITICAL
75148,"ОЛФЕН®-100 СР ДЕПОКАПС, Teva (Израиль), капс. пролонг. дейст. 100 мг, #20",3170,ДИКЛОФЕНАК,Пероральные твердые длительно действующие,17,0.747566,0.252434,0.391536,0.608464,135.3368,52.9255,188.2621,6.352941176470588,SUBSTITUTABLE
77795,"ЗОВИРАКС, GlaxoSmithKline (Великобритания), табл. 200 мг блистер, #25",3297,АЦИКЛОВИР,Пероральные твердые обычные,3,0.6934743333333334,0.30652566666666664,1.0,0.0,31.376,3.73,35.106,10.666666666666666,SUBSTITUTABLE
78982,"САЛОФАЛЬК, Alpen Pharma AG   (Швейцария), гран. гастрорезист. пролонг. 500 мг пакетик ""Грану-Стикс"", #50",3016,МЕСАЛАЗИН,Пероральные твердые длительно действующие,2,0.6313545,0.36864549999999996,0.7947759999999999,0.205224,10.2,4.4799999999999995,14.68,12.5,SUBSTITUTABLE
78985,"САЛОФАЛЬК, Alpen Pharma AG   (Швейцария), гран. гастрорезист. пролонг. 1000 мг пакетик ""Грану-Стикс"", #50",3016,МЕСАЛАЗИН,Пероральные твердые длительно действующие,11,0.12598427272727272,0.8740157272727272,0.897959,0.102041,2.73,13.922,16.652,5.363636363636363,CRITICAL
82447,"ИМЕТ®, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 400 мг, #10",3138,ИБУПРОФЕН,Пероральные твердые обычные,25,0.84574536,0.15425464,0.897039,0.10296100000000001,369.4887,74.5358,444.0245,1.92,SUBSTITUTABLE
82448,"ИМЕТ®, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 400 мг, #20",3138,ИБУПРОФЕН,Пероральные твердые обычные,33,0.8278721212121213,0.1721278787878788,0.8952309393939394,0.1047690606060606,373.4164,98.4129,471.8294,1.6666666666666667,SUBSTITUTABLE
89669,"МУКОГЕН, Macleods Pharmaceuticals Ltd (Индия), табл. п/о 100 мг стрип, #30",95259,РЕБАМИПИД,Пероральные твердые обычные,27,0.10604851851851851,0.8939514814814815,1.0,0.0,4.4166,71.7753,76.192,2.888888888888889,CRITICAL
94658,"НУРОФЕН ФОРТЕ, Reckitt Benckiser Healthcare International  (Великобритания), табл. п/о 400 мг, #12",3138,ИБУПРОФЕН,Пероральные твердые обычные,23,0.8113358260869566,0.18866417391304346,0.8672235217391304,0.13277647826086958,252.4579,83.3565,335.8144,1.434782608695652,SUBSTITUTABLE
95127,"НУРОФЕН ДЛЯ ДЕТЕЙ, Reckitt Benckiser Healthcare International  (Великобритания), супп. ректал. 60 мг, #10",3138,ИБУПРОФЕН,Ректальные системные,6,0.0,1.0,,,0.0,34.3129,34.3129,16.0,CRITICAL
99351,"НУРОФЕН, Reckitt Benckiser Healthcare International  (Великобритания), табл. п/о 200 мг блистер, #6",3138,ИБУПРОФЕН,Пероральные твердые обычные,15,0.9238744666666666,0.07612553333333333,0.9206002000000001,0.0793998,665.9079,47.4678,713.3755,5.733333333333333,SUBSTITUTABLE
99352,"НУРОФЕН, Reckitt Benckiser Healthcare International  (Великобритания), табл. п/о 200 мг блистер, #12",3138,ИБУПРОФЕН,Пероральные твердые обычные,33,0.876393,0.123607,0.899621303030303,0.10037869696969696,616.0817,85.1195,701.2011,2.6666666666666665,SUBSTITUTABLE
