EVENT_ID,CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,NFC1_ID,NFC_ID,STOCKOUT_START,STOCKOUT_END,STOCKOUT_WEEKS,PRE_START,PRE_END,PRE_WEEKS,PRE_AVG_Q,POST_START,POST_END,POST_WEEKS,POST_STATUS,MARKET_PRE,MARKET_DURING,MARKET_GROWTH,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,SHARE_INTERNAL,SHARE_LOST,SUBSTITUTES_COUNT,SUBSTITUTES_WITH_LIFT,LIFT_SAME_NFC1,LIFT_DIFF_NFC1,SHARE_SAME_NFC1,SHARE_DIFF_NFC1
98911_2733_0049,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-04-10,2023-04-17,2,2023-03-13,2023-04-03,4,2.0,2023-04-24,2023-05-15,4,valid,76.85,23.29,0.303058,1.3939,0.0,1.3939,1.0,0.0,2,2,1.3939,0.0,1.0,0.0
98911_2733_0050,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-05-08,2023-06-05,5,2023-04-10,2023-05-01,4,0.7425,2023-06-12,2023-07-03,4,valid,48.78,81.31,1.666872,0.0,4.2195,4.2195,0.0,1.0,2,0,0.0,0.0,,
98911_2733_0051,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-06-26,2023-07-03,2,2023-05-29,2023-06-19,4,0.495,2023-07-10,2023-07-31,4,valid,86.83,44.13,0.508234,0.0,0.8575,0.8575,0.0,1.0,2,0,0.0,0.0,,
98911_2733_0053,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-07-31,2023-08-07,2,2023-07-03,2023-07-24,4,0.695,2023-08-14,2023-09-04,4,valid,61.23,19.61,0.320268,0.6797,0.0,0.6797,1.0,0.0,2,1,0.6797,0.0,1.0,0.0
98911_2733_0054,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-08-28,2023-09-25,5,2023-07-31,2023-08-21,4,0.5,2023-10-02,2023-10-23,4,valid,47.99,62.66,1.305689,0.3886,3.6798,4.0685,0.095521,0.904479,2,1,0.3886,0.0,1.0,0.0
98911_2733_0055,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-10-09,2023-10-30,4,2023-09-11,2023-10-02,4,0.25,2023-11-06,2023-11-27,4,valid,58.46,24.63,0.421314,0.1574,3.5881,3.7454,0.042017,0.957983,2,1,0.1574,0.0,1.0,0.0
98911_2733_0057,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-12-18,2023-12-25,2,2023-11-20,2023-12-11,4,0.75,2024-01-01,2024-01-22,4,valid,58.88,19.03,0.3232,0.0,0.6467,0.6467,0.0,1.0,2,0,0.0,0.0,,
98911_2733_0059,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-01-29,2024-01-29,1,2024-01-01,2024-01-22,4,1.0,2024-02-05,2024-02-26,4,valid,39.44,11.85,0.300456,0.0,2.5233,2.5233,0.0,1.0,2,0,0.0,0.0,,
98911_2733_0060,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-02-12,2024-02-12,1,2024-01-15,2024-02-05,4,1.25,2024-02-19,2024-03-11,4,valid,43.1,13.9,0.322506,0.0,1.9879,1.9879,0.0,1.0,2,0,0.0,0.0,,
98911_2733_0061,98911,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-02-26,2024-03-04,2,2024-01-29,2024-02-19,4,0.75,2024-03-11,2024-04-01,4,valid,47.48,29.55,0.622367,1.0,0.0,1.0,1.0,0.0,2,1,1.0,0.0,1.0,0.0
