INN_ID,INN_NAME,EVENTS,DRUGS,AVG_SHARE_INTERNAL,AVG_SHARE_LOST,AVG_SHARE_SAME_NFC1,TOTAL_INTERNAL_LIFT,TOTAL_LOST_SALES
350,АРГИНИН,89,9,0.4883739438202247,0.5116260561797753,0.4403985915492958,250.7244,507.94419999999997
2733,ТРОКСЕРУТИН,73,5,0.33917791780821915,0.6608220821917808,1.0,88.7109,266.5169
2757,ТОБРАМИЦИН,33,1,0.0,1.0,,0.0,75.8862
2963,НАФТИФИН,80,8,0.51615055,0.48384945,1.0,510.74719999999996,257.2618
2969,НАПРОКСЕН,73,4,0.5082909726027397,0.4917090273972603,1.0,151.398,201.80169999999998
3016,МЕСАЛАЗИН,1,1,0.0,1.0,,0.0,1.46
3030,ЛОРАТАДИН,40,6,0.25175415,0.74824585,0.4843161875,89.2348,74.3974
3138,ИБУПРОФЕН,565,42,0.8190699575221239,0.1809300424778761,0.6130148672727274,14118.6096,1975.021
3147,ДРОТАВЕРИН,112,7,0.4320159910714286,0.5679840089285715,1.0,285.1375,522.3547
3170,ДИКЛОФЕНАК,478,44,0.627092470711297,0.3729075292887029,0.7632459307159353,2963.7107,1404.6609
3225,ГЕПАРИН НАТРИЙ,72,6,0.44804095833333335,0.5519590416666666,1.0,300.9411,227.61430000000001
3297,АЦИКЛОВИР,192,12,0.5595938020833333,0.4404061979166667,1.0,729.1668999999999,609.5835
40218,ДЕЗЛОРАТАДИН,124,11,0.6282625806451613,0.3717374193548387,0.5402652695652174,937.4479,356.1777
60436,ЛЕРКАНИДИПИН,66,7,0.5398198787878788,0.4601801212121212,1.0,167.4934,149.5843
80617,ПРЕГАБАЛИН,98,15,0.7017127346938775,0.29828726530612243,1.0,720.6561,224.2745
95259,РЕБАМИПИД,20,1,0.0,1.0,,0.0,64.3174
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,43,2,0.1953835581395349,0.8046164418604651,1.0,46.714999999999996,117.5099
298137,БИЛАСТИН,75,5,0.30886452000000003,0.69113548,1.0,87.7263,170.4524
790221,ЭДОКСАБАН,8,2,0.125,0.875,1.0,1.0,54.9768
