EVENT_ID,CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,NFC1_ID,NFC_ID,STOCKOUT_START,STOCKOUT_END,STOCKOUT_WEEKS,PRE_START,PRE_END,PRE_WEEKS,PRE_AVG_Q,POST_START,POST_END,POST_WEEKS,POST_STATUS,MARKET_PRE,MARKET_DURING,MARKET_GROWTH,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,SHARE_INTERNAL,SHARE_LOST,SUBSTITUTES_COUNT,SUBSTITUTES_WITH_LIFT,LIFT_SAME_NFC1,LIFT_DIFF_NFC1,SHARE_SAME_NFC1,SHARE_DIFF_NFC1
28753_2733_0003,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-03-27,2023-05-08,7,2023-02-27,2023-03-20,4,0.25,2023-05-15,2023-06-05,4,valid,18.97,47.31,2.493938,2.92,7.2808,10.2008,0.286252,0.713748,2,2,2.92,0.0,1.0,0.0
28753_2733_0004,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-05-22,2023-06-12,4,2023-04-24,2023-05-15,4,0.25,2023-06-19,2023-07-10,4,valid,25.81,31.65,1.226269,0.0,1.2393,1.2393,0.0,1.0,2,0,0.0,0.0,,
28753_2733_0005,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-06-26,2023-08-07,7,2023-05-29,2023-06-19,4,0.25,2023-08-14,2023-09-04,4,valid,23.81,38.63,1.622428,1.6491,3.1284,4.7775,0.345178,0.654822,2,1,1.6491,0.0,1.0,0.0
28753_2733_0006,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-08-21,2023-09-04,3,2023-07-24,2023-08-14,4,0.25,2023-09-11,2023-10-02,4,valid,19.47,26.08,1.339497,0.0,0.4046,0.4046,0.0,1.0,2,0,0.0,0.0,,
28753_2733_0007,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-09-18,2023-10-23,6,2023-08-21,2023-09-11,4,0.25,2023-10-30,2023-11-20,4,valid,32.77,26.9,0.820873,1.0,4.7665,5.7665,0.173416,0.826584,2,1,1.0,0.0,1.0,0.0
28753_2733_0009,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-11-27,2024-02-19,13,2023-10-30,2023-11-20,4,0.75,2024-02-26,2024-03-18,4,valid,12.41,39.91,3.215955,1.34,0.0,1.34,1.0,0.0,2,1,1.34,0.0,1.0,0.0
28753_2733_0010,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-04,2024-03-11,2,2024-02-05,2024-02-26,4,0.25,2024-03-18,2024-04-08,4,valid,14.5,6.21,0.428276,0.0,2.7388,2.7388,0.0,1.0,2,0,0.0,0.0,,
28753_2733_0011,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-25,2024-04-29,6,2024-02-26,2024-03-18,4,0.5,2024-05-06,2024-05-27,4,valid,18.62,30.45,1.635338,1.0,0.776,1.776,0.563058,0.436942,2,1,1.0,0.0,1.0,0.0
28753_2733_0013,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-05-27,2024-07-08,7,2024-04-29,2024-05-20,4,1.02,2024-07-15,2024-08-05,4,valid,19.64,38.3,1.950102,0.0,0.9281,0.9281,0.0,1.0,2,0,0.0,0.0,,
28753_2733_0014,28753,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-07-22,2024-09-16,9,2024-06-24,2024-07-15,4,0.25,2024-09-23,2024-10-14,4,valid,20.81,39.41,1.893801,0.0,6.2092,6.2092,0.0,1.0,2,0,0.0,0.0,,
