INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,4,49,36,73.5
2733,ТРОКСЕРУТИН,3,43,35,81.4
2757,ТОБРАМИЦИН,1,25,23,92.0
2963,НАФТИФИН,7,42,30,71.4
2969,НАПРОКСЕН,5,91,65,71.4
298137,БИЛАСТИН,5,97,69,71.1
3030,ЛОРАТАДИН,8,57,39,68.4
3138,ИБУПРОФЕН,52,801,526,65.7
3147,ДРОТАВЕРИН,10,219,165,75.3
3170,ДИКЛОФЕНАК,45,546,387,70.9
3225,ГЕПАРИН НАТРИЙ,5,55,43,78.2
3297,АЦИКЛОВИР,14,239,170,71.1
350,АРГИНИН,5,66,56,84.8
40218,ДЕЗЛОРАТАДИН,7,151,110,72.8
60436,ЛЕРКАНИДИПИН,5,72,54,75.0
790221,ЭДОКСАБАН,2,37,31,83.8
80617,ПРЕГАБАЛИН,13,138,94,68.1
95259,РЕБАМИПИД,1,25,19,76.0
