INN_ID,INN_NAME,EVENTS,DRUGS,AVG_SHARE_INTERNAL,AVG_SHARE_LOST,AVG_SHARE_SAME_NFC1,TOTAL_INTERNAL_LIFT,TOTAL_LOST_SALES
350,АРГИНИН,60,8,0.3486767333333333,0.6513232666666667,0.5876839756097562,163.1795,656.2049
2733,ТРОКСЕРУТИН,43,6,0.45776462790697675,0.5422353720930232,1.0,126.9245,178.4408
2757,ТОБРАМИЦИН,17,1,0.0,1.0,,0.0,43.9232
2963,НАФТИФИН,8,4,0.25206375,0.74793625,1.0,14.24,46.5845
2969,НАПРОКСЕН,12,2,0.40105341666666666,0.5989465833333333,1.0,10.1948,62.9452
3016,МЕСАЛАЗИН,3,1,0.0,1.0,,0.0,1.91
3030,ЛОРАТАДИН,44,5,0.38218502272727267,0.6178149772727273,0.6437238275862069,121.5705,335.1026
3138,ИБУПРОФЕН,218,30,0.7425090321100918,0.2574909678899083,0.7041497924528302,3535.7508,1683.8388
3147,ДРОТАВЕРИН,117,7,0.46078916239316237,0.5392108376068376,1.0,500.8678,614.2406
3170,ДИКЛОФЕНАК,169,23,0.4728121301775148,0.5271878698224852,0.7156754928571428,746.4082,1374.8374
3225,ГЕПАРИН НАТРИЙ,36,7,0.5059402777777778,0.4940597222222222,1.0,116.9246,300.0052
3297,АЦИКЛОВИР,82,8,0.4754435487804878,0.5245564512195122,1.0,192.9964,426.8895
40218,ДЕЗЛОРАТАДИН,27,5,0.4775452962962963,0.5224547037037037,0.376471,81.2503,169.9455
60436,ЛЕРКАНИДИПИН,39,3,0.31020689743589747,0.6897931025641026,1.0,49.567,105.16329999999999
80617,ПРЕГАБАЛИН,92,17,0.6973027717391304,0.30269722826086953,1.0,794.5458,257.4624
95259,РЕБАМИПИД,7,1,0.0,1.0,,0.0,41.097699999999996
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,23,2,0.3342487391304348,0.6657512608695653,1.0,28.4049,125.8565
298137,БИЛАСТИН,10,1,0.0,1.0,,0.0,16.4431
790221,ЭДОКСАБАН,38,2,0.2076302894736842,0.7923697105263158,1.0,22.6001,126.78960000000001
