EVENT_ID,CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,NFC1_ID,NFC_ID,STOCKOUT_START,STOCKOUT_END,STOCKOUT_WEEKS,PRE_START,PRE_END,PRE_WEEKS,PRE_AVG_Q,POST_START,POST_END,POST_WEEKS,POST_STATUS,MARKET_PRE,MARKET_DURING,MARKET_GROWTH,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,SHARE_INTERNAL,SHARE_LOST,SUBSTITUTES_COUNT,SUBSTITUTES_WITH_LIFT,LIFT_SAME_NFC1,LIFT_DIFF_NFC1,SHARE_SAME_NFC1,SHARE_DIFF_NFC1
584900_2733_0030,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-01-30,2023-01-30,1,2023-01-02,2023-01-23,4,0.4525,2023-02-06,2023-02-27,4,valid,19.84,5.13,0.258569,0.0,0.3022,0.3022,0.0,1.0,1,0,0.0,0.0,,
584900_2733_0031,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-02-13,2023-03-06,4,2023-01-16,2023-02-06,4,0.3075,2023-03-13,2023-04-03,4,valid,21.79,33.88,1.554842,0.62,3.1859,3.8059,0.162905,0.837095,2,1,0.62,0.0,1.0,0.0
584900_2733_0033,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-04-03,2023-05-22,8,2023-03-06,2023-03-27,4,0.2,2023-05-29,2023-06-19,4,valid,52.54,83.54,1.590027,2.13,0.0,2.13,1.0,0.0,3,2,2.13,0.0,1.0,0.0
584900_2733_0034,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-06-05,2023-08-21,12,2023-05-08,2023-05-29,4,0.1325,2023-08-28,2023-09-18,4,valid,42.07,134.1,3.187545,0.7337,0.0,0.7337,1.0,0.0,3,2,0.7337,0.0,1.0,0.0
584900_2733_0036,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-09-18,2023-09-18,1,2023-08-21,2023-09-11,4,0.2975,2023-09-25,2023-10-16,4,valid,28.35,4.26,0.150265,0.0,0.8689,0.8689,0.0,1.0,2,0,0.0,0.0,,
584900_2733_0037,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-10-02,2023-10-09,2,2023-09-04,2023-09-25,4,0.535,2023-10-16,2023-11-06,4,valid,24.19,11.51,0.475816,0.63,0.0,0.63,1.0,0.0,2,1,0.63,0.0,1.0,0.0
584900_2733_0038,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-10-30,2023-12-04,6,2023-10-02,2023-10-23,4,0.7275,2023-12-11,2024-01-01,4,valid,26.72,41.22,1.542665,0.0,3.1291,3.1291,0.0,1.0,2,0,0.0,0.0,,
584900_2733_0039,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-12-25,2024-01-01,2,2023-11-27,2023-12-18,4,0.155,2024-01-08,2024-01-29,4,valid,22.8,18.35,0.804825,0.0,0.7004,0.7004,0.0,1.0,2,0,0.0,0.0,,
584900_2733_0040,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-01-15,2024-01-15,1,2023-12-18,2024-01-08,4,0.205,2024-01-22,2024-02-12,4,valid,29.79,6.28,0.210809,0.0,0.1369,0.1369,0.0,1.0,2,0,0.0,0.0,,
584900_2733_0041,584900,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-01-29,2024-02-12,3,2024-01-01,2024-01-22,4,0.265,2024-02-19,2024-03-11,4,valid,26.83,21.72,0.809542,0.96,1.0593,2.0193,0.475404,0.524596,2,1,0.96,0.0,1.0,0.0
