DRUGS_ID,DRUGS_NAME,INN_ID,INN_NAME,NFC1_ID,MARKET_COUNT,SHARE_INTERNAL_LOC_1336951,INTERNAL_LIFT_LOC_1336951,EVENTS_COUNT_LOC_1336951,SHARE_INTERNAL_LOC_1419760,INTERNAL_LIFT_LOC_1419760,EVENTS_COUNT_LOC_1419760,SHARE_INTERNAL_LOC_98911,INTERNAL_LIFT_LOC_98911,EVENTS_COUNT_LOC_98911,SHARE_INTERNAL_LOC_416188,INTERNAL_LIFT_LOC_416188,EVENTS_COUNT_LOC_416188,SHARE_INTERNAL_LOC_108139,INTERNAL_LIFT_LOC_108139,EVENTS_COUNT_LOC_108139,SHARE_INTERNAL_LOC_584900,INTERNAL_LIFT_LOC_584900,EVENTS_COUNT_LOC_584900,SHARE_INTERNAL_LOC_129455,INTERNAL_LIFT_LOC_129455,EVENTS_COUNT_LOC_129455,SHARE_INTERNAL_LOC_28670,INTERNAL_LIFT_LOC_28670,EVENTS_COUNT_LOC_28670,SHARE_INTERNAL_LOC_493281,INTERNAL_LIFT_LOC_493281,EVENTS_COUNT_LOC_493281,SHARE_INTERNAL_LOC_28753,INTERNAL_LIFT_LOC_28753,EVENTS_COUNT_LOC_28753
4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г",2733,ТРОКСЕРУТИН,"Местно действующие, дерматологические, антигеморроидальные, наружные",10,0.45800528,39.2562,25.0,0.2944882413793103,17.4284,29.0,0.4015885925925926,22.0006,27.0,0.3058274615384615,20.4953,26.0,0.2619103636363636,3.6578,11.0,0.3148272631578947,15.6737,19.0,0.2791686470588235,8.5373,17.0,0.3422903333333333,24.8554,15.0,0.1,0.47,10.0,0.2728308888888888,15.5737,18.0
6572,"ДОЛГИТ® КРЕМ, Naturwaren (Германия), крем туба 50 г, #1",3138,ИБУПРОФЕН,"Местно действующие, дерматологические, антигеморроидальные, наружные",10,0.5934785833333334,57.2134,12.0,0.25006575,13.1,4.0,0.3883902222222222,27.1838,9.0,0.3605923076923076,20.3967,13.0,0.0,0.0,7.0,0.4164296666666667,3.22,3.0,0.3962108,4.97,5.0,0.127284,5.23,1.0,1.0,0.41,1.0,0.0,0.0,3.0
7583,"ЗОВИРАКС, Халеон Украина ООО (Украина, Киев), крем 5 % туба 2 г, #1",3297,АЦИКЛОВИР,"Местно действующие, дерматологические, антигеморроидальные, наружные",10,0.7094812500000001,134.9645,32.0,0.6860781739130435,75.5119,23.0,0.4892301851851852,63.6143,27.0,0.6125586999999999,83.258,20.0,0.5970631,16.1628,10.0,0.2538900833333333,20.8571,12.0,0.4686854210526315,38.0248,19.0,0.6045548000000001,25.6753,10.0,0.3792002,14.778300000000002,5.0,0.5006944,19.7085,5.0
8609,"ЛИОТОН® 1000 ГЕЛЬ, Berlin-Chemie  (Германия), гель туба 50 г, #1",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",10,0.4385236785714285,53.8348,28.0,0.3599156896551724,28.6414,29.0,0.43038252,48.6006,25.0,0.3753046071428571,59.4316,28.0,0.2206394705882353,2.9268,17.0,0.5217082,8.18,10.0,0.3074719999999999,17.1198,18.0,0.4871422857142857,23.6036,7.0,0.4205,6.3227,15.0,0.3181958181818182,14.1116,11.0
17794,"БЕРОДУАЛ®, Boehringer Ingelheim  (Германия), р-р д/инг. фл. с капельницей 20 мл, #1",106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,Для введения в легкие,10,0.3464665806451613,49.4883,31.0,0.33312525,14.6942,16.0,0.2787566842105263,19.6159,19.0,0.2223547,21.0064,20.0,0.319805375,1.8358,8.0,0.3616946363636363,3.3488,11.0,0.0941871578947368,6.7317,19.0,0.4976065555555555,19.123,9.0,0.200872375,2.0075000000000003,8.0,0.0,0.0,1.0
29400,"ДИКЛОБЕРЛ® 100, Berlin-Chemie  (Германия), супп. 100 мг, #10",3170,ДИКЛОФЕНАК,Ректальные системные,10,0.4818398,43.1876,20.0,0.4032518888888888,19.1955,27.0,0.3957872142857143,33.3438,28.0,0.4639812307692307,24.1932,26.0,0.5161372857142857,5.512,14.0,0.4830073076923077,5.5317,13.0,0.19757325,12.2598,24.0,0.0991595999999999,8.969999999999999,5.0,0.2286997777777778,6.434,9.0,0.5638825,19.7665,6.0
29401,"ДИКЛОБЕРЛ® 50, Berlin-Chemie  (Германия), супп. 50 мг блистер, #10",3170,ДИКЛОФЕНАК,Ректальные системные,10,0.528093064516129,68.4081,31.0,0.4666508823529411,58.639,17.0,0.5352882,37.3163,20.0,0.3310470869565217,26.9367,23.0,0.3376603636363636,7.8418,11.0,0.2707876999999999,6.4707,10.0,0.3765980769230769,18.265,13.0,0.390101,15.81,8.0,0.5230594,11.79,5.0,0.719891,11.0767,3.0
29404,"ДИКЛОБЕРЛ® РЕТАРД, Berlin-Chemie  (Германия), капс. тверд. пролонг. дейст. 100 мг, #20",3170,ДИКЛОФЕНАК,Пероральные твердые длительно действующие,10,0.71517615,90.4892,20.0,0.6508223714285715,76.6045,35.0,0.6360358125,67.9609,32.0,0.6375076451612903,108.3271,31.0,0.62625896875,28.7814,32.0,0.558393875,36.7665,24.0,0.602849,59.8498,31.0,0.5858990625,97.828,16.0,0.4266498461538461,44.1433,13.0,0.4915110909090909,48.3474,22.0
31881,"ДИКЛОФЕНАК-ДАРНИЦА, Дарница ЧАО (Украина, Киев), р-р д/ин. 25 мг/мл амп. 3 мл, контурн. ячейк. уп., пачка, #10",3170,ДИКЛОФЕНАК,Парентеральные обычные,10,0.6263104347826086,89.1069,23.0,0.474521625,24.0609,16.0,0.5691374,39.8356,25.0,0.63498390625,68.1179,32.0,0.2643794166666666,10.0829,12.0,0.58575355,21.1936,20.0,0.4277507391304347,28.9257,23.0,0.4368687857142857,29.959,14.0,0.4457143,5.6384,10.0,0.4544013846153846,44.4855,13.0
32493,"ЛИОТОН® 1000 ГЕЛЬ, Berlin-Chemie  (Германия), гель туба 30 г, #1",3225,ГЕПАРИН НАТРИЙ,"Местно действующие, дерматологические, антигеморроидальные, наружные",10,0.5599654117647058,79.4619,34.0,0.4545046666666666,47.3964,27.0,0.4238229259259259,47.1554,27.0,0.3807623846153846,32.4207,26.0,0.387405875,5.771800000000001,8.0,0.453575,8.0075,10.0,0.2712455555555555,13.1875,9.0,0.4035023333333333,24.5717,6.0,0.198189625,13.99,8.0,0.655474,20.79,4.0
