INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,5,2023-01-09,2025-12-22,563,103,108.0,0.183
2733,ТРОКСЕРУТИН,3,2023-01-23,2025-12-15,309,66,75.95,0.214
2757,ТОБРАМИЦИН,1,2023-01-16,2025-12-15,153,111,215.85000000000002,0.725
2963,НАФТИФИН,7,2023-02-13,2025-12-29,662,49,50.17,0.074
2969,НАПРОКСЕН,5,2023-01-30,2025-12-29,594,119,123.38999999999999,0.2
3030,ЛОРАТАДИН,8,2023-01-02,2025-12-29,593,183,421.05,0.309
3138,ИБУПРОФЕН,52,2023-01-02,2025-12-29,5906,1722,2607.74,0.292
3147,ДРОТАВЕРИН,10,2023-01-09,2025-12-29,1128,373,391.35,0.331
3170,ДИКЛОФЕНАК,45,2023-01-02,2025-12-29,4242,946,1123.21,0.223
3225,ГЕПАРИН НАТРИЙ,5,2023-01-02,2025-12-15,529,71,79.63,0.134
3297,АЦИКЛОВИР,14,2023-01-02,2025-12-29,1529,365,436.34000000000003,0.239
40218,ДЕЗЛОРАТАДИН,7,2023-01-09,2025-12-15,930,246,328.36,0.265
60436,ЛЕРКАНИДИПИН,5,2023-02-06,2025-12-15,351,101,65.43,0.288
80617,ПРЕГАБАЛИН,13,2023-01-09,2025-12-29,880,224,268.77000000000004,0.255
95259,РЕБАМИПИД,1,2023-01-02,2025-12-22,156,35,31.349999999999998,0.224
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,4,2023-01-30,2025-12-15,330,79,95.61000000000001,0.239
298137,БИЛАСТИН,5,2023-01-02,2025-12-29,541,162,192.19000000000003,0.299
790221,ЭДОКСАБАН,2,2023-01-23,2025-12-08,232,61,60.160000000000004,0.263
