INN_ID,INN_NAME,EVENTS,DRUGS,AVG_SHARE_INTERNAL,AVG_SHARE_LOST,AVG_SHARE_SAME_NFC1,TOTAL_INTERNAL_LIFT,TOTAL_LOST_SALES
350,АРГИНИН,74,9,0.37287572972972977,0.6271242702702703,0.6361673863636363,217.2168,291.964
2733,ТРОКСЕРУТИН,78,5,0.3234314487179487,0.6765685512820513,1.0,101.06830000000001,253.6518
2757,ТОБРАМИЦИН,32,1,0.0,1.0,,0.0,63.4981
2963,НАФТИФИН,91,8,0.5667001098901099,0.4332998901098901,1.0,486.4464,372.6256
2969,НАПРОКСЕН,56,4,0.4325953928571429,0.5674046071428571,1.0,93.6459,176.9673
3016,МЕСАЛАЗИН,11,1,0.0,1.0,,0.0,24.7042
3030,ЛОРАТАДИН,23,4,0.3876499565217391,0.6123500434782609,0.6666666666666666,65.454,55.644600000000004
3138,ИБУПРОФЕН,573,41,0.7829001727748691,0.21709982722513088,0.646318100358423,10208.0352,1848.356
3147,ДРОТАВЕРИН,143,8,0.5144831468531469,0.48551685314685317,1.0,488.9287,467.7318
3170,ДИКЛОФЕНАК,476,47,0.6391546974789916,0.3608453025210084,0.8061305757575757,2575.3228,1363.7624
3225,ГЕПАРИН НАТРИЙ,78,7,0.5399094871794872,0.4600905128205128,1.0,410.9366,263.9776
3297,АЦИКЛОВИР,195,11,0.5208534512820513,0.4791465487179487,1.0,666.9365,622.6078
40218,ДЕЗЛОРАТАДИН,130,11,0.6349921153846154,0.36500788461538464,0.5144435702479339,851.0752,422.8363
60436,ЛЕРКАНИДИПИН,102,7,0.5390857352941176,0.46091426470588237,1.0,191.7817,188.9996
73487,ИНСУЛИН ГЛУЛИЗИН,2,1,0.0,1.0,,0.0,5.4774
80617,ПРЕГАБАЛИН,139,18,0.7649827553956835,0.23501724460431656,0.9879084296296297,1668.5489,314.1331
95259,РЕБАМИПИД,18,1,0.0,1.0,,0.0,46.9102
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,40,2,0.2673689,0.7326311000000001,1.0,33.7161,138.6451
298137,БИЛАСТИН,48,5,0.32926645833333335,0.6707335416666668,1.0,95.3316,203.1085
790221,ЭДОКСАБАН,17,2,0.14628041176470588,0.8537195882352941,1.0,4.3975,46.6027
