INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,5,2023-01-02,2025-12-01,667,120,52.400000000000006,0.18
2733,ТРОКСЕРУТИН,6,2023-01-02,2025-10-27,575,84,50.120000000000005,0.146
2757,ТОБРАМИЦИН,1,2023-01-16,2025-12-29,155,54,37.38,0.348
2963,НАФТИФИН,7,2023-01-02,2025-12-29,474,61,35.919999999999995,0.129
2969,НАПРОКСЕН,6,2023-01-09,2025-12-29,566,77,38.25,0.136
3030,ЛОРАТАДИН,9,2023-01-02,2025-12-29,629,152,96.25,0.242
3138,ИБУПРОФЕН,55,2023-01-02,2025-12-29,5510,1112,736.1999999999999,0.202
3147,ДРОТАВЕРИН,12,2023-01-02,2025-12-29,1401,352,264.26,0.251
3170,ДИКЛОФЕНАК,50,2023-01-02,2025-12-29,4596,625,349.89,0.136
3225,ГЕПАРИН НАТРИЙ,5,2023-01-02,2025-07-28,401,43,23.380000000000003,0.107
3297,АЦИКЛОВИР,13,2023-01-02,2025-12-29,1511,250,164.56,0.165
40218,ДЕЗЛОРАТАДИН,8,2023-01-02,2025-12-01,915,127,83.99000000000001,0.139
60436,ЛЕРКАНИДИПИН,5,2023-01-02,2025-12-22,365,51,17.43,0.14
80617,ПРЕГАБАЛИН,14,2023-01-02,2025-12-22,793,151,66.01,0.19
95259,РЕБАМИПИД,1,2023-01-09,2025-05-19,124,11,3.66,0.089
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,2023-01-02,2025-10-27,267,47,24.550000000000004,0.176
298137,БИЛАСТИН,4,2023-01-02,2025-12-22,416,85,54.64,0.204
