CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,DATE_START,DATE_END,DATE_DIFF,WEEKS_TOTAL,WEEKS_WITH_SALES,SALES_RATIO,TOTAL_Q
584900,80617,ПРЕГАБАЛИН,149166,"ЛИРИКА, Viatris  (США), капс. 75 мг блистер, #14",2023-04-03,2025-12-15,988,142,14,0.099,11.100000000000001
584900,80617,ПРЕГАБАЛИН,149167,"ЛИРИКА, Viatris  (США), капс. 150 мг блистер, #14",2023-02-27,2025-06-09,834,120,18,0.15,12.21
584900,80617,ПРЕГАБАЛИН,292559,"НЕОГАБИН 150, Acino (Швейцария), капс. 150 мг блистер, #60",2023-03-27,2024-09-09,533,77,15,0.195,1.9100000000000004
584900,80617,ПРЕГАБАЛИН,292562,"НЕОГАБИН 75, Acino (Швейцария), капс. 75 мг блистер, #60",2023-03-06,2024-09-09,554,80,43,0.538,12.950000000000001
584900,80617,ПРЕГАБАЛИН,327057,"ТОРГАБАЛИН 75, Torrent Pharmaceuticals (Индия), капс. тверд. 75 мг блистер, #30",2025-08-11,2025-09-15,36,6,3,0.5,2.34
584900,80617,ПРЕГАБАЛИН,359468,"ОГРАНИЯ, Фармак АО (Украина, Киев), капс. 300 мг блистер, #30",2023-11-20,2025-12-22,764,110,15,0.136,5.449999999999999
584900,80617,ПРЕГАБАЛИН,359472,"ОГРАНИЯ, Фармак АО (Украина, Киев), капс. 75 мг блистер, #14",2025-05-12,2025-11-10,183,27,2,0.074,1.71
584900,80617,ПРЕГАБАЛИН,375230,"ГАБАНА®, Корпорация Артериум  (Украина, Киев), капс. 150 мг блистер в пачке, #20",2023-02-06,2025-10-13,981,141,17,0.121,9.200000000000001
584900,80617,ПРЕГАБАЛИН,449769,"ПРЕГАБАЛИН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), капс. 75 мг контурн. ячейк. уп., #21",2023-01-02,2023-01-30,29,5,3,0.6,0.67
584900,80617,ПРЕГАБАЛИН,618224,"ЛИНЕФОР, Polpharma (Польша), капс. тверд. 300 мг блистер, #56",2023-11-06,2023-12-11,36,6,4,0.667,1.56
584900,80617,ПРЕГАБАЛИН,773377,"ЗОНИК, Кусум Фарм ООО (Украина, Киев), капс. тверд. 25 мг блистер, #28",2025-03-17,2025-10-27,225,33,4,0.121,0.9900000000000001
584900,80617,ПРЕГАБАЛИН,773380,"ЗОНИК, Кусум Фарм ООО (Украина, Киев), капс. тверд. 50 мг блистер, #28",2025-03-24,2025-12-01,253,37,8,0.216,3.2299999999999995
584900,80617,ПРЕГАБАЛИН,825568,"ПРЕГАБАЛИН-ТЕВА, Teva (Израиль), капс. тверд. 75 мг блистер, #28",2024-08-19,2024-09-02,15,3,2,0.667,1.23
584900,80617,ПРЕГАБАЛИН,825572,"ПРЕГАБАЛИН-ТЕВА, Teva (Израиль), капс. тверд. 150 мг блистер, #28",2025-05-12,2025-06-16,36,6,3,0.5,1.46
584900,3138,ИБУПРОФЕН,4954,"ИБУПРОФЕН, Борщаговский ХФЗ ПАО (Украина, Киев), табл. п/плен. оболочкой 200 мг, #50",2023-02-20,2025-12-22,1037,149,85,0.57,88.09
584900,3138,ИБУПРОФЕН,6572,"ДОЛГИТ® КРЕМ, Naturwaren (Германия), крем туба 50 г, #1",2023-01-16,2025-08-11,939,135,11,0.081,4.22
584900,3138,ИБУПРОФЕН,6573,"ДОЛГИТ® КРЕМ, Naturwaren (Германия), крем туба 100 г, #1",2023-01-09,2025-11-03,1030,148,10,0.068,3.69
584900,3138,ИБУПРОФЕН,13656,"ИБУПРОФЕН, Sopharma (Болгария), табл. п/о 200 мг блистер в пачке, #50",2023-01-02,2025-12-22,1086,156,32,0.205,12.51
584900,3138,ИБУПРОФЕН,30976,"ДОЛГИТ® КРЕМ, Naturwaren (Германия), крем туба 20 г, #1",2023-04-10,2025-08-04,848,122,9,0.074,5.26
584900,3138,ИБУПРОФЕН,41633,"ИБУПРОМ, Дельта Медикел ООО (Украина, Вишневое), табл. п/о 200 мг блистер, #10",2023-01-02,2023-03-13,71,11,5,0.455,1.9200000000000002
584900,3138,ИБУПРОФЕН,63511,"ИБУПРОМ МАКС, Дельта Медикел ООО (Украина, Вишневое), табл. п/о 400 мг блистер, #12",2023-01-23,2023-02-06,15,3,2,0.667,0.58
584900,3138,ИБУПРОФЕН,69784,"ИБУПРОФЕН-ДАРНИЦА, Дарница ЧАО (Украина, Киев), табл. 200 мг контурн. ячейк. уп., #50",2023-01-16,2025-10-06,995,143,71,0.497,44.059999999999995
584900,3138,ИБУПРОФЕН,82447,"ИМЕТ®, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 400 мг, #10",2023-01-02,2025-12-01,1065,153,24,0.157,15.49
584900,3138,ИБУПРОФЕН,82448,"ИМЕТ®, Berlin-Chemie  (Германия), табл. п/плен. оболочкой 400 мг, #20",2023-02-27,2025-12-29,1037,149,36,0.242,22.580000000000002
584900,3138,ИБУПРОФЕН,94658,"НУРОФЕН ФОРТЕ, Reckitt Benckiser Healthcare International  (Великобритания), табл. п/о 400 мг, #12",2023-01-09,2025-12-22,1079,155,67,0.432,66.23
584900,3138,ИБУПРОФЕН,95127,"НУРОФЕН ДЛЯ ДЕТЕЙ, Reckitt Benckiser Healthcare International  (Великобритания), супп. ректал. 60 мг, #10",2023-01-16,2024-03-18,428,62,11,0.177,5.75
584900,3138,ИБУПРОФЕН,99351,"НУРОФЕН, Reckitt Benckiser Healthcare International  (Великобритания), табл. п/о 200 мг блистер, #6",2023-03-20,2025-06-30,834,120,20,0.167,13.07
584900,3138,ИБУПРОФЕН,99352,"НУРОФЕН, Reckitt Benckiser Healthcare International  (Великобритания), табл. п/о 200 мг блистер, #12",2023-01-02,2025-12-29,1093,157,45,0.287,38.58999999999999
584900,3138,ИБУПРОФЕН,99353,"НУРОФЕН, Reckitt Benckiser Healthcare International  (Великобритания), табл. п/о 200 мг блистер, #24",2023-01-09,2025-12-29,1086,156,34,0.218,14.65
