INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,1,3,2,66.7
2733,ТРОКСЕРУТИН,7,55,41,74.5
2757,ТОБРАМИЦИН,1,9,8,88.9
2963,НАФТИФИН,3,9,6,66.7
2969,НАПРОКСЕН,2,18,16,88.9
298137,БИЛАСТИН,2,16,14,87.5
3016,МЕСАЛАЗИН,3,12,4,33.3
3030,ЛОРАТАДИН,3,45,38,84.4
3138,ИБУПРОФЕН,22,149,115,77.2
3147,ДРОТАВЕРИН,8,133,124,93.2
3170,ДИКЛОФЕНАК,27,242,181,74.8
3225,ГЕПАРИН НАТРИЙ,5,39,31,79.5
3297,АЦИКЛОВИР,8,90,74,82.2
350,АРГИНИН,6,60,48,80.0
40218,ДЕЗЛОРАТАДИН,3,31,26,83.9
60436,ЛЕРКАНИДИПИН,5,24,17,70.8
73487,ИНСУЛИН ГЛУЛИЗИН,1,11,8,72.7
790221,ЭДОКСАБАН,2,29,27,93.1
80617,ПРЕГАБАЛИН,13,101,69,68.3
