INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,6,2023-01-23,2025-12-08,602,91,219.03,0.151
2733,ТРОКСЕРУТИН,7,2023-01-30,2025-11-24,528,66,71.99,0.125
2757,ТОБРАМИЦИН,1,2023-01-30,2025-12-08,150,13,15.25,0.087
2963,НАФТИФИН,3,2023-04-17,2025-05-12,231,14,16.75,0.061
2969,НАПРОКСЕН,2,2023-02-27,2025-11-17,264,21,13.05,0.08
3016,МЕСАЛАЗИН,3,2023-02-20,2024-10-14,185,18,69.38,0.097
3030,ЛОРАТАДИН,3,2023-01-16,2025-12-22,356,123,208.8,0.346
3138,ИБУПРОФЕН,22,2023-01-02,2025-12-15,1619,291,273.33,0.18
3147,ДРОТАВЕРИН,8,2023-01-02,2025-12-29,809,263,320.08,0.325
3170,ДИКЛОФЕНАК,27,2023-01-02,2025-12-22,2188,375,339.12,0.171
3225,ГЕПАРИН НАТРИЙ,5,2023-02-20,2025-10-06,456,47,59.49,0.103
3297,АЦИКЛОВИР,8,2023-02-13,2025-12-15,894,112,137.69,0.125
40218,ДЕЗЛОРАТАДИН,3,2023-01-30,2025-10-27,346,40,47.99,0.116
60436,ЛЕРКАНИДИПИН,5,2023-03-06,2025-11-17,215,32,31.84,0.149
73487,ИНСУЛИН ГЛУЛИЗИН,1,2023-03-13,2025-12-08,144,13,26.080000000000002,0.09
80617,ПРЕГАБАЛИН,13,2023-01-02,2025-12-22,1002,160,277.12,0.16
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,1,2023-12-04,2025-02-24,65,6,4.49,0.092
298137,БИЛАСТИН,2,2023-04-17,2025-06-30,193,23,15.120000000000001,0.119
790221,ЭДОКСАБАН,2,2023-10-23,2025-12-15,169,32,35.230000000000004,0.189
