EVENT_ID,CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,NFC1_ID,NFC_ID,STOCKOUT_START,STOCKOUT_END,STOCKOUT_WEEKS,PRE_START,PRE_END,PRE_WEEKS,PRE_AVG_Q,POST_START,POST_END,POST_WEEKS,POST_STATUS,MARKET_PRE,MARKET_DURING,MARKET_GROWTH,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,SHARE_INTERNAL,SHARE_LOST,SUBSTITUTES_COUNT,SUBSTITUTES_WITH_LIFT,LIFT_SAME_NFC1,LIFT_DIFF_NFC1,SHARE_SAME_NFC1,SHARE_DIFF_NFC1
493281_2733_0012,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-07-03,2023-08-21,8,2023-06-05,2023-06-26,4,0.0625,2023-08-28,2023-09-18,4,valid,56.26,84.06,1.494134,0.0,4.5524,4.5524,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0016,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-02-19,2024-04-01,7,2024-01-22,2024-02-12,4,0.135,2024-04-08,2024-04-29,4,valid,22.86,53.56,2.342957,0.0,13.7774,13.7774,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0017,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-04-15,2024-04-15,1,2024-03-18,2024-04-08,4,0.9,2024-04-22,2024-05-13,4,valid,30.06,7.71,0.256487,0.0,1.4049,1.4049,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0018,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-04-29,2024-04-29,1,2024-04-01,2024-04-22,4,1.2425,2024-05-06,2024-05-27,4,valid,26.82,6.22,0.231916,0.0,0.3362,0.3362,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0019,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-05-27,2024-05-27,1,2024-04-29,2024-05-20,4,0.885,2024-06-03,2024-06-24,4,valid,22.61,4.54,0.200796,0.0,0.4779,0.4779,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0020,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-06-10,2024-07-29,8,2024-05-13,2024-06-03,4,0.745,2024-08-05,2024-08-26,4,valid,27.32,61.04,2.234261,0.0,13.0561,13.0561,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0022,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-11-04,2025-01-06,10,2024-10-07,2024-10-28,4,0.1125,2025-01-13,2025-02-03,4,valid,16.78,36.52,2.1764,0.0,5.9566,5.9566,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0023,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-01-20,2025-05-19,18,2024-12-23,2025-01-13,4,0.205,2025-05-26,2025-06-16,4,valid,18.38,94.9,5.163221,0.47,0.0,0.47,1.0,0.0,1,1,0.47,0.0,1.0,0.0
493281_2733_0024,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-06-02,2025-09-15,16,2025-05-05,2025-05-26,4,0.1025,2025-09-22,2025-10-13,4,valid,21.92,81.35,3.711223,0.0,11.8908,11.8908,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0025,493281,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-09-29,2025-09-29,1,2025-09-01,2025-09-22,4,0.4225,2025-10-06,2025-10-27,4,valid,18.85,1.0,0.05305,0.0,0.4912,0.4912,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0027,493281,2733,ТРОКСЕРУТИН,144824,"ТРОКСЕВАЗИН®, Teva (Израиль), капс. 300 мг блистер, #50",Пероральные твердые обычные,Капсулы,2023-10-23,2024-05-06,29,2023-09-25,2023-10-16,4,0.1675,2024-05-13,2024-06-03,4,valid,41.89,210.65,5.028646,0.0,7.758,7.758,0.0,1.0,0,0,0.0,0.0,,
493281_2733_0029,493281,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-04-15,2025-04-28,55,2024-03-18,2024-04-08,4,0.0875,2025-05-05,2025-05-26,4,valid,30.06,296.06,9.848969,0.0,29.5455,29.5455,0.0,1.0,1,0,0.0,0.0,,
493281_2733_0030,493281,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-05-12,2025-06-02,4,2025-04-14,2025-05-05,4,0.1175,2025-06-09,2025-06-30,4,valid,31.06,17.0,0.547328,0.41,0.6022,1.0122,0.405078,0.594922,1,1,0.41,0.0,1.0,0.0
493281_2733_0031,493281,2733,ТРОКСЕРУТИН,229239,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 100 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-06-16,2025-09-15,14,2025-05-19,2025-06-09,4,0.115,2025-09-22,2025-10-13,4,valid,15.14,74.45,4.917437,0.0,1.5353,1.5353,0.0,1.0,1,0,0.0,0.0,,
493281_2757_0034,493281,2757,ТОБРАМИЦИН,33729,"ТОБРЕКС®, Novartis Pharma (Швейцария), кап. глаз. 0,3 % фл.-капельн. 5 мл, #1",Офтальмологические,Жидкости,2023-03-06,2023-04-10,6,2023-02-06,2023-02-27,4,0.29,2023-04-17,2023-05-08,4,valid,13.98,31.32,2.240343,0.0,2.5988,2.5988,0.0,1.0,0,0,0.0,0.0,,
