INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,3,56,48,85.7
2733,ТРОКСЕРУТИН,6,102,88,86.3
2757,ТОБРАМИЦИН,1,35,34,97.1
2963,НАФТИФИН,10,110,90,81.8
2969,НАПРОКСЕН,5,88,78,88.6
298137,БИЛАСТИН,5,101,85,84.2
3016,МЕСАЛАЗИН,2,5,3,60.0
3030,ЛОРАТАДИН,7,62,46,74.2
3138,ИБУПРОФЕН,57,732,607,82.9
3147,ДРОТАВЕРИН,11,159,141,88.7
3170,ДИКЛОФЕНАК,56,683,540,79.1
3225,ГЕПАРИН НАТРИЙ,7,97,82,84.5
3297,АЦИКЛОВИР,13,251,209,83.3
350,АРГИНИН,12,123,104,84.6
40218,ДЕЗЛОРАТАДИН,14,178,140,78.7
60436,ЛЕРКАНИДИПИН,9,94,76,80.9
790221,ЭДОКСАБАН,2,12,10,83.3
80617,ПРЕГАБАЛИН,23,183,117,63.9
95259,РЕБАМИПИД,1,24,21,87.5
