INN_ID,INN_NAME,EVENTS,DRUGS,AVG_SHARE_INTERNAL,AVG_SHARE_LOST,AVG_SHARE_SAME_NFC1,TOTAL_INTERNAL_LIFT,TOTAL_LOST_SALES
350,АРГИНИН,35,4,0.14514031428571428,0.8548596857142857,0.09090909090909091,12.1997,144.8712
2733,ТРОКСЕРУТИН,30,2,0.2670946666666667,0.7329053333333333,1.0,28.7074,201.6805
2757,ТОБРАМИЦИН,22,1,0.0,1.0,,0.0,57.1435
2963,НАФТИФИН,25,5,0.54576524,0.45423476,1.0,80.0915,73.399
2969,НАПРОКСЕН,55,4,0.4548766181818182,0.5451233818181818,1.0,107.6363,154.8079
3030,ЛОРАТАДИН,31,4,0.4524476451612903,0.5475523548387097,0.9363830869565217,214.8204,385.8028
3138,ИБУПРОФЕН,480,46,0.8555715895833333,0.14442841041666668,0.6281995064377682,13886.2463,1366.8498
3147,ДРОТАВЕРИН,142,9,0.5447953802816902,0.45520461971830983,1.0,493.2436,320.0873
3170,ДИКЛОФЕНАК,336,32,0.5131715059523809,0.4868284940476191,0.7797200708955224,1493.4897,952.1304
3225,ГЕПАРИН НАТРИЙ,35,4,0.3097048285714286,0.6902951714285714,1.0,68.3004,147.28709999999998
3297,АЦИКЛОВИР,153,9,0.4916298758169934,0.5083701241830065,1.0,335.9756,355.8098
40218,ДЕЗЛОРАТАДИН,100,7,0.55524206,0.44475794,0.38052767777777774,389.437,258.8455
60436,ЛЕРКАНИДИПИН,48,3,0.3174140208333333,0.6825859791666667,1.0,29.438,64.44239999999999
80617,ПРЕГАБАЛИН,83,7,0.51747021686747,0.4825297831325301,1.0,333.512,337.2949
95259,РЕБАМИПИД,18,1,0.0,1.0,,0.0,49.645700000000005
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,29,3,0.16512410344827586,0.8348758965517242,1.0,23.8417,98.56909999999999
298137,БИЛАСТИН,59,5,0.27154549152542373,0.7284545084745763,1.0,97.4208,147.75549999999998
790221,ЭДОКСАБАН,26,2,0.044682807692307695,0.9553171923076923,1.0,3.21,76.104
