INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,7,2023-01-02,2025-12-22,573,106,52.34,0.185
2733,ТРОКСЕРУТИН,3,2023-01-30,2025-12-08,347,33,23.549999999999997,0.095
2757,ТОБРАМИЦИН,1,2023-01-23,2025-12-29,154,54,44.31,0.351
2963,НАФТИФИН,4,2023-01-02,2024-07-22,179,15,6.67,0.084
2969,НАПРОКСЕН,5,2023-01-30,2025-12-29,463,61,40.28,0.132
3016,МЕСАЛАЗИН,2,2023-11-13,2024-11-18,50,5,0.87,0.1
3030,ЛОРАТАДИН,6,2023-01-02,2025-12-22,513,128,141.25,0.25
3138,ИБУПРОФЕН,46,2023-01-02,2025-12-29,4278,769,542.65,0.18
3147,ДРОТАВЕРИН,13,2023-01-02,2025-12-29,1098,257,221.23000000000002,0.234
3170,ДИКЛОФЕНАК,36,2023-01-02,2025-12-29,2549,365,199.45,0.143
3225,ГЕПАРИН НАТРИЙ,7,2023-01-02,2025-12-01,420,53,26.849999999999998,0.126
3297,АЦИКЛОВИР,14,2023-01-02,2025-12-22,1360,172,153.71,0.126
40218,ДЕЗЛОРАТАДИН,11,2023-01-02,2025-12-29,846,114,71.71,0.135
60436,ЛЕРКАНИДИПИН,2,2023-03-06,2025-12-15,259,25,7.140000000000001,0.097
73487,ИНСУЛИН ГЛУЛИЗИН,1,2024-06-24,2025-02-03,33,3,0.6100000000000001,0.091
80617,ПРЕГАБАЛИН,13,2023-01-02,2025-12-22,954,132,94.61,0.138
95259,РЕБАМИПИД,1,2023-05-29,2025-06-09,107,8,3.6900000000000004,0.075
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,2023-01-02,2025-12-15,184,20,11.580000000000002,0.109
298137,БИЛАСТИН,3,2023-01-09,2025-12-29,362,68,47.050000000000004,0.188
