INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,45,39,86.7
2733,ТРОКСЕРУТИН,4,91,85,93.4
2757,ТОБРАМИЦИН,1,39,39,100.0
2963,НАФТИФИН,6,99,85,85.9
2969,НАПРОКСЕН,5,87,81,93.1
298137,БИЛАСТИН,6,62,55,88.7
3016,МЕСАЛАЗИН,12,75,42,56.0
3030,ЛОРАТАДИН,8,63,54,85.7
3138,ИБУПРОФЕН,54,844,742,87.9
3147,ДРОТАВЕРИН,9,223,206,92.4
3170,ДИКЛОФЕНАК,57,805,656,81.5
3225,ГЕПАРИН НАТРИЙ,7,95,82,86.3
3297,АЦИКЛОВИР,18,327,280,85.6
350,АРГИНИН,11,145,125,86.2
40218,ДЕЗЛОРАТАДИН,9,183,163,89.1
60436,ЛЕРКАНИДИПИН,9,122,108,88.5
73487,ИНСУЛИН ГЛУЛИЗИН,1,14,12,85.7
790221,ЭДОКСАБАН,2,35,31,88.6
80617,ПРЕГАБАЛИН,26,359,300,83.6
95259,РЕБАМИПИД,2,54,46,85.2
