INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,31,29,93.5
2733,ТРОКСЕРУТИН,6,62,56,90.3
2757,ТОБРАМИЦИН,1,28,26,92.9
2963,НАФТИФИН,7,44,35,79.5
2969,НАПРОКСЕН,6,55,42,76.4
298137,БИЛАСТИН,4,52,47,90.4
3030,ЛОРАТАДИН,9,59,36,61.0
3138,ИБУПРОФЕН,55,600,515,85.8
3147,ДРОТАВЕРИН,12,159,145,91.2
3170,ДИКЛОФЕНАК,50,390,319,81.8
3225,ГЕПАРИН НАТРИЙ,5,36,29,80.6
3297,АЦИКЛОВИР,13,166,137,82.5
350,АРГИНИН,5,70,65,92.9
40218,ДЕЗЛОРАТАДИН,8,86,75,87.2
60436,ЛЕРКАНИДИПИН,5,36,29,80.6
80617,ПРЕГАБАЛИН,14,72,49,68.1
95259,РЕБАМИПИД,1,10,8,80.0
