INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,13,2023-01-02,2025-12-29,1167,191,263.64,0.164
2733,ТРОКСЕРУТИН,5,2023-01-02,2025-12-22,655,175,205.47,0.267
2757,ТОБРАМИЦИН,1,2023-01-23,2025-12-29,154,91,159.85,0.591
2963,НАФТИФИН,10,2023-01-02,2025-12-22,1154,199,234.02,0.172
2969,НАПРОКСЕН,6,2023-01-16,2025-12-22,586,151,166.20999999999998,0.258
3016,МЕСАЛАЗИН,1,2023-03-20,2025-12-08,143,17,8.7,0.119
3030,ЛОРАТАДИН,6,2023-01-02,2025-12-29,508,231,309.38,0.455
3138,ИБУПРОФЕН,50,2023-01-02,2025-12-29,5500,1385,2006.1799999999998,0.252
3147,ДРОТАВЕРИН,13,2023-01-02,2025-12-29,1149,408,569.35,0.355
3170,ДИКЛОФЕНАК,53,2023-01-02,2025-12-29,5856,1259,1446.81,0.215
3225,ГЕПАРИН НАТРИЙ,10,2023-01-23,2025-12-22,900,190,248.30999999999997,0.211
3297,АЦИКЛОВИР,13,2023-01-02,2025-12-29,1662,465,625.63,0.28
40218,ДЕЗЛОРАТАДИН,12,2023-01-02,2025-12-29,1378,258,329.5,0.187
60436,ЛЕРКАНИДИПИН,7,2023-01-02,2025-12-22,778,220,218.36999999999998,0.283
73487,ИНСУЛИН ГЛУЛИЗИН,1,2024-09-23,2025-04-28,32,8,15.209999999999999,0.25
80617,ПРЕГАБАЛИН,27,2023-01-02,2025-12-29,2441,563,666.6,0.231
95259,РЕБАМИПИД,1,2023-01-09,2025-12-15,154,34,39.099999999999994,0.221
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,2023-01-09,2025-12-22,307,92,131.19,0.3
298137,БИЛАСТИН,7,2023-01-23,2025-12-29,622,192,302.06,0.309
790221,ЭДОКСАБАН,2,2023-03-13,2025-12-15,199,37,41.31,0.186
