INN_ID,INN_NAME,DRUGS_COUNT,DATE_START,DATE_END,WEEKS_TOTAL,WEEKS_WITH_SALES,TOTAL_Q,AVG_SALES_RATIO
350,АРГИНИН,9,2023-01-16,2025-12-15,950,140,339.79,0.147
2733,ТРОКСЕРУТИН,8,2023-01-02,2025-11-24,760,112,118.33000000000001,0.147
2757,ТОБРАМИЦИН,1,2023-01-30,2025-06-30,127,28,34.39,0.22
2963,НАФТИФИН,7,2023-01-23,2025-08-25,423,34,36.87,0.08
2969,НАПРОКСЕН,2,2023-01-02,2025-11-24,283,32,21.02,0.113
3016,МЕСАЛАЗИН,2,2023-01-30,2025-07-21,144,33,36.38,0.229
3030,ЛОРАТАДИН,5,2023-01-09,2025-12-29,479,152,292.79,0.317
3138,ИБУПРОФЕН,32,2023-01-02,2025-12-29,3385,543,629.0300000000001,0.16
3147,ДРОТАВЕРИН,8,2023-01-02,2025-12-29,989,317,760.79,0.321
3170,ДИКЛОФЕНАК,36,2023-01-02,2025-12-22,3118,575,619.64,0.184
3225,ГЕПАРИН НАТРИЙ,8,2023-01-16,2025-12-01,716,82,80.08,0.115
3297,АЦИКЛОВИР,12,2023-01-09,2025-12-22,1092,183,224.0,0.168
40218,ДЕЗЛОРАТАДИН,6,2023-01-02,2025-12-29,534,63,71.51,0.118
60436,ЛЕРКАНИДИПИН,7,2023-01-23,2025-12-15,475,79,93.52,0.166
80617,ПРЕГАБАЛИН,21,2023-01-09,2025-12-29,1412,403,434.64,0.285
95259,РЕБАМИПИД,1,2023-05-15,2025-12-01,134,13,15.53,0.097
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,2023-01-02,2025-11-03,293,36,56.1,0.123
298137,БИЛАСТИН,2,2023-05-15,2025-05-19,74,22,15.39,0.297
790221,ЭДОКСАБАН,2,2023-01-23,2025-12-29,277,88,134.51999999999998,0.318
