INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,27,24,88.9
2733,ТРОКСЕРУТИН,4,50,45,90.0
2757,ТОБРАМИЦИН,1,28,27,96.4
2963,НАФТИФИН,8,60,43,71.7
2969,НАПРОКСЕН,4,69,61,88.4
298137,БИЛАСТИН,5,64,58,90.6
3016,МЕСАЛАЗИН,2,2,0,0.0
3030,ЛОРАТАДИН,10,57,42,73.7
3138,ИБУПРОФЕН,53,635,518,81.6
3147,ДРОТАВЕРИН,11,179,166,92.7
3170,ДИКЛОФЕНАК,46,433,357,82.4
3225,ГЕПАРИН НАТРИЙ,5,46,36,78.3
3297,АЦИКЛОВИР,17,208,160,76.9
350,АРГИНИН,10,73,61,83.6
40218,ДЕЗЛОРАТАДИН,12,87,71,81.6
60436,ЛЕРКАНИДИПИН,6,54,43,79.6
73487,ИНСУЛИН ГЛУЛИЗИН,1,1,0,0.0
790221,ЭДОКСАБАН,1,10,9,90.0
80617,ПРЕГАБАЛИН,19,128,104,81.2
95259,РЕБАМИПИД,2,11,9,81.8
