CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,DATE_START,DATE_END,DATE_DIFF,WEEKS_TOTAL,WEEKS_WITH_SALES,SALES_RATIO,TOTAL_Q
108139,40218,ДЕЗЛОРАТАДИН,40041,"ЭРИУС®, Bayer Consumer Health  (Швейцария), табл. п/плен. оболочкой 5 мг блистер, #10",2023-02-06,2025-09-01,939,135,20,0.148,9.190000000000001
108139,40218,ДЕЗЛОРАТАДИН,49724,"ЭРИУС®, Bayer Consumer Health  (Швейцария), сироп 0,5 мг/мл фл. 60 мл, #1",2023-03-20,2025-09-01,897,129,19,0.147,6.2
108139,40218,ДЕЗЛОРАТАДИН,108638,"ЭДЕМ, Фармак АО (Украина, Киев), сироп 0,5 мг/мл фл.стекл. с крыш.укуп.-навинч. 60 мл, с дозир. ложкой, #1",2023-01-23,2024-11-25,673,97,11,0.113,3.5500000000000003
108139,40218,ДЕЗЛОРАТАДИН,110626,"ЭДЕМ, Фармак АО (Украина, Киев), табл. п/о 5 мг блистер, #10",2023-02-06,2025-12-22,1051,151,48,0.318,30.35
108139,40218,ДЕЗЛОРАТАДИН,167643,"ЛОРДЕС®, Nobel  (Турция), табл. п/о 5 мг блистер, #20",2023-06-19,2023-07-31,43,7,4,0.571,1.83
108139,40218,ДЕЗЛОРАТАДИН,187678,"ЭДЕМ, Фармак АО (Украина, Киев), табл. п/о 5 мг блистер, #30",2023-01-09,2025-12-15,1072,154,14,0.091,6.58
108139,40218,ДЕЗЛОРАТАДИН,223405,"ЭРИДЕЗ-ДАРНИЦА, Дарница ЧАО (Украина, Киев), табл. п/о 5 мг контурн. ячейк. уп., #10",2023-09-18,2025-08-04,687,99,7,0.071,2.9
108139,40218,ДЕЗЛОРАТАДИН,352922,"ДЕЗРАДИН®, KRKA d.d. Novo Mesto  (Словения), табл. п/плен. оболочкой 5 мг блистер, #30",2024-01-15,2024-03-04,50,8,2,0.25,0.26
108139,40218,ДЕЗЛОРАТАДИН,429515,"ФРИ-АЛ, Фармак АО (Украина, Киев), табл. 5 мг блистер, #30",2023-01-16,2023-03-20,64,10,2,0.2,0.66
108139,40218,ДЕЗЛОРАТАДИН,600038,"АЛЛЕРГОЗАН, Sopharma (Болгария), табл. п/плен. оболочкой 5 мг блистер, в картонной упаковке, #30",2023-06-12,2023-11-27,169,25,2,0.08,0.6
