EVENT_ID,CLIENT_ID,INN_ID,INN_NAME,DRUGS_ID,DRUGS_NAME,NFC1_ID,NFC_ID,STOCKOUT_START,STOCKOUT_END,STOCKOUT_WEEKS,PRE_START,PRE_END,PRE_WEEKS,PRE_AVG_Q,POST_START,POST_END,POST_WEEKS,POST_STATUS,MARKET_PRE,MARKET_DURING,MARKET_GROWTH,INTERNAL_LIFT,LOST_SALES,TOTAL_EFFECT,SHARE_INTERNAL,SHARE_LOST,SUBSTITUTES_COUNT,SUBSTITUTES_WITH_LIFT,LIFT_SAME_NFC1,LIFT_DIFF_NFC1,SHARE_SAME_NFC1,SHARE_DIFF_NFC1
108139_2733_0026,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-05-29,2023-06-05,2,2023-05-01,2023-05-22,4,0.255,2023-06-12,2023-07-03,4,valid,62.72,29.0,0.462372,0.2757,6.3587,6.6344,0.041555,0.958445,1,1,0.2757,0.0,1.0,0.0
108139_2733_0029,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-07-31,2023-08-07,2,2023-07-03,2023-07-24,4,0.2575,2023-08-14,2023-09-04,4,valid,60.25,20.34,0.337593,0.3921,1.1711,1.5632,0.250828,0.749172,2,1,0.3921,0.0,1.0,0.0
108139_2733_0030,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-08-28,2023-11-13,12,2023-07-31,2023-08-21,4,0.23,2023-11-20,2023-12-11,4,valid,57.51,145.78,2.534864,0.0,17.4852,17.4852,0.0,1.0,2,0,0.0,0.0,,
108139_2733_0031,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2023-11-27,2023-12-18,4,2023-10-30,2023-11-20,4,0.065,2023-12-25,2024-01-15,4,valid,49.8,47.05,0.944779,0.26,0.0,0.26,1.0,0.0,2,1,0.26,0.0,1.0,0.0
108139_2733_0032,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-01-08,2024-02-19,7,2023-12-11,2024-01-01,4,0.2325,2024-02-26,2024-03-18,4,valid,37.85,65.23,1.723382,0.38,1.1555,1.5355,0.247469,0.752531,2,1,0.38,0.0,1.0,0.0
108139_2733_0033,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-04,2024-03-11,2,2024-02-05,2024-02-26,4,0.0725,2024-03-18,2024-04-08,4,valid,39.43,24.2,0.613746,0.25,0.0,0.25,1.0,0.0,2,1,0.25,0.0,1.0,0.0
108139_2733_0034,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-03-25,2024-03-25,1,2024-02-26,2024-03-18,4,0.1575,2024-04-01,2024-04-22,4,valid,49.6,14.4,0.290323,0.0,1.0861,1.0861,0.0,1.0,2,0,0.0,0.0,,
108139_2733_0035,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-04-08,2024-05-13,6,2024-03-11,2024-04-01,4,0.295,2024-05-20,2024-06-10,4,valid,47.2,82.0,1.737288,1.82,4.3042,6.1242,0.29718,0.70282,2,1,1.82,0.0,1.0,0.0
108139_2733_0037,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2024-06-10,2025-02-17,37,2024-05-13,2024-06-03,4,0.1525,2025-02-24,2025-03-17,4,valid,60.54,330.91,5.465973,0.0,53.5487,53.5487,0.0,1.0,2,0,0.0,0.0,,
108139_2733_0039,108139,2733,ТРОКСЕРУТИН,4043,"ТРОКСЕВАЗИН, Teva (Израиль), гель 2 % туба 40 г","Местно действующие, дерматологические, антигеморроидальные, наружные",Гели и золи,2025-03-24,2025-04-14,4,2025-02-24,2025-03-17,4,0.31,2025-04-21,2025-05-12,4,valid,37.4,36.95,0.987968,0.28,6.0862,6.3662,0.043982,0.956018,2,1,0.28,0.0,1.0,0.0
