INN_ID,INN_NAME,EVENTS,DRUGS,AVG_SHARE_INTERNAL,AVG_SHARE_LOST,AVG_SHARE_SAME_NFC1,TOTAL_INTERNAL_LIFT,TOTAL_LOST_SALES
350,АРГИНИН,38,5,0.34041671052631584,0.6595832894736842,0.4166666666666667,27.405,217.4708
2733,ТРОКСЕРУТИН,24,4,0.3138779583333333,0.6861220416666667,1.0,12.245999999999999,154.34179999999998
2757,ТОБРАМИЦИН,25,1,0.0,1.0,,0.0,20.7505
2963,НАФТИФИН,36,6,0.5332148055555556,0.46678519444444444,1.0,45.8888,109.882
2969,НАПРОКСЕН,45,4,0.39374742222222225,0.6062525777777779,1.0,26.3913,197.7724
3030,ЛОРАТАДИН,33,4,0.44210054545454547,0.5578994545454545,0.9474959545454545,84.21,360.1968
3138,ИБУПРОФЕН,468,46,0.7569371901709402,0.2430628098290598,0.768145298245614,5189.6082,1904.3652
3147,ДРОТАВЕРИН,136,10,0.41198088970588237,0.5880191102941177,1.0,247.9392,679.2361
3170,ДИКЛОФЕНАК,288,36,0.503004361111111,0.4969956388888889,0.7534356848739495,470.2281,1356.0012
3225,ГЕПАРИН НАТРИЙ,28,3,0.31607564285714285,0.683924357142857,1.0,17.382800000000003,137.6138
3297,АЦИКЛОВИР,130,13,0.47605126153846156,0.5239487384615384,1.0,175.6041,598.1207
40218,ДЕЗЛОРАТАДИН,59,7,0.5712059830508475,0.42879401694915253,0.6056616111111112,91.306,305.4593
60436,ЛЕРКАНИДИПИН,26,5,0.16964826923076923,0.8303517307692309,1.0,18.770300000000002,154.0515
80617,ПРЕГАБАЛИН,83,14,0.5224366024096385,0.4775633975903615,1.0,263.1197,609.6918000000001
95259,РЕБАМИПИД,7,1,0.0,1.0,,0.0,18.3282
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,17,2,0.3880778823529412,0.6119221176470588,1.0,5.4481,49.7794
298137,БИЛАСТИН,41,3,0.2978409756097561,0.7021590243902439,1.0,24.8414,209.8129
790221,ЭДОКСАБАН,8,1,0.0,1.0,,0.0,12.3719
