INN_ID,INN_NAME,DRUGS_COUNT,RAW_EVENTS,VALID_EVENTS,VALIDATION_RATE
106853,ИПРАТРОПИЯ БРОМИД+ФЕНОТЕРОЛ,2,52,47,90.4
2733,ТРОКСЕРУТИН,5,107,98,91.6
2757,ТОБРАМИЦИН,1,33,32,97.0
2963,НАФТИФИН,10,144,101,70.1
2969,НАПРОКСЕН,6,88,63,71.6
298137,БИЛАСТИН,7,73,60,82.2
3016,МЕСАЛАЗИН,1,13,12,92.3
3030,ЛОРАТАДИН,6,65,26,40.0
3138,ИБУПРОФЕН,50,731,618,84.5
3147,ДРОТАВЕРИН,13,192,168,87.5
3170,ДИКЛОФЕНАК,53,736,548,74.5
3225,ГЕПАРИН НАТРИЙ,10,119,83,69.7
3297,АЦИКЛОВИР,13,272,221,81.2
350,АРГИНИН,13,127,88,69.3
40218,ДЕЗЛОРАТАДИН,12,164,145,88.4
60436,ЛЕРКАНИДИПИН,7,132,114,86.4
73487,ИНСУЛИН ГЛУЛИЗИН,1,6,4,66.7
790221,ЭДОКСАБАН,2,21,19,90.5
80617,ПРЕГАБАЛИН,27,260,157,60.4
95259,РЕБАМИПИД,1,20,19,95.0
